"Timestamp","Confidentiality and Privacy: We highly value your privacy. All responses you provide will be treated with strict confidentiality and anonymity. The results will only be examined in an aggregated manner. Your personal details will not be disclosed to any third parties, and the gathered data will solely be utilized for research purposes.
Voluntary Participation: Your involvement in this study is entirely optional, and you retain the right to withdraw at any point while the questionnaire is accessible for completion. However, we will appreciate if you take some time to fill it up.
Contact Information: If you have any questions or concerns regarding the study, please don't hesitate to reach out to us at mir.hossain01@northsouth.edu.
By selecting the ""I Agree"" checkbox below, you signify your voluntary consent to participate in this research study.","What is your age?","What is your Gender?","What is your Occupation?","How many hours per day, on average, do you spend on digital devices (smartphones, computers, tablets)?","Which digital device do you use most frequently? ","How often do you check your smartphone within an hour of waking up?","How often do you check your smartphone within an hour of going to bed?","Do you use technology for work or academic purposes?","How often do you use social media platforms?","How many hours per day do you typically spend watching TV or streaming services?","Do you use technology as a means of relaxation or entertainment?","What type of content do you most frequently consume online?","What emotions do you associate with your use of technology?","On a scale from 1 to 5, how would you rate your overall mental well-being currently? ","Over the past two weeks, how often have you experienced symptoms such as sadness, hopelessness, or a lack of interest or pleasure in activities?","How often do you find it difficult to concentrate or make decisions?","How would you describe the quality of your sleep over the past month?","Have you experienced changes in your appetite or weight (loss or gain) recently?","How often do you experience physical symptoms such as headaches, stomachaches, or other unexplained pains?","How would you rate your energy levels and motivation on an average day?","Do you engage in activities that you used to enjoy, or have you lost interest in them?","How often do you feel overwhelmed by stress?","Do you feel a sense of isolation or disconnection from others?","Do you have a support system or someone you feel comfortable talking to about your mental health?","How often do you engage in activities or practices that promote mental well-being (e.g., exercise, meditation, hobbies)?","Have you ever intentionally taken a break from using digital devices for a designated period (digital detox)?","If yes, how long was your longest digital detox?","What encouraged you to take a digital detox? ","How did you feel during your digital detox?","Did you set specific goals or rules for your digital detox? (e.g., no social media, no screens after a certain hour)","Would you consider making digital detox a regular practice in your life?","How did your digital detox experience impact your subsequent use of technology?","What is the biggest challenge that you faced during your digital detox, if any? ","How do you manage stress related to technology?","On a scale from 1 to 5, how effective do you find these strategies in managing stress related to technology? "," How often do you engage in physical activities (e.g., exercise, yoga) as a self-care practice to manage stress?","Are there any particular outdoor activities you find helpful in reducing stress related to technology? (e.g., walking, hiking, gardening)","What are your coping strategies for technology-related stress?"
"2023/10/17 11:33:07 PM GMT+6","I Agree","21","Female","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Frustration","3","Frequently","Almost all the time","Poor","No changes","Never","Moderate","Have lost interest","Frequently","No","Yes","Rarely","Yes","Less than a day","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Difficulty staying disconnected","Set specific time limits for technology use","3","Occasionally","Yes","I seek support from friends or family"
"2023/10/17 11:38:32 PM GMT+6","I Agree","45","Male","Student","More than 6 hours","Smartphone","Always","Always","No","Rarely or never","3-4 hours","Yes","Social media updates","Frustration","2","Occasionally","Occasionally","Excellent","No changes","Never","Low","Have lost interest","Occasionally","No","No","Rarely","Yes","1-3 days","Feeling overwhelmed or stressed","Anxious or stressed","Yes","No","No change","Social pressure to stay connected","Set specific time limits for technology use","1","Never","No","I attend social events or gatherings"
"2023/10/17 11:54:11 PM GMT+6","I Agree","17","Male","Student","5-6 hours","Smartphone","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Frequently","Good","Weight gain","Rarely","Low","Have lost interest","Occasionally","No","Yes","Rarely","Yes","Less than a day","Improving productivity","No significant change","Yes","Yes","No change","Boredom","Take short breaks from screens","3","Occasionally","Yes","I seek support from friends or family"
"2023/10/18 12:11:15 AM GMT+6","I Agree","23","Male","Employed (full-time)","5-6 hours","Smartphone","Always","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","2","Occasionally","Rarely","Good","Weight gain","Rarely","Moderate","Still enjoy activities","Occasionally","No","Yes","Frequently","Yes","Less than a day","Focusing on in-person relationships","No significant change","No","No","No change","FOMO (Fear of Missing Out)","Take short breaks from screens","2","Frequently","Yes","I strategise my priorities "
"2023/10/18 12:12:30 AM GMT+6","I Agree","23","Female","Student","3-4 hours","Computer/Laptop","Often","Always","No","Multiple times a day","5-6 hours","Yes","News and information","Relaxation","1","Not at all","Rarely","Fair","Weight loss","Frequently","Low","Still enjoy activities","Occasionally","Yes","Yes","Rarely","Yes","4-7 days","Noticing negative effects on mental health","Anxious or stressed","Yes","No","No change","FOMO (Fear of Missing Out)","Take short breaks from screens","1","Rarely","Yes","I seek support from friends or family"
"2023/10/18 12:24:43 AM GMT+6","I Agree","22","Male","Employed (part-time)","1-2 hours","Computer/Laptop","Often","Always","Yes","Multiple times a day","Less than 1 hour","No","Entertainment (videos, movies, music)","Stress","3","Occasionally","Occasionally","Fair","Increased appetite","Occasionally","Moderate","Still enjoy activities","Occasionally","Yes","No","Rarely","Yes","More than a week","Noticing negative effects on mental health","No significant change","Yes","No","Used technology more mindfully","Boredom","Take short breaks from screens","3","Rarely","Yes","I prefer to cope alone"
"2023/10/18 12:52:21 AM GMT+6","I Agree","23","Female","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Rarely","Poor","Weight loss","Rarely","High","Still enjoy activities","Frequently","No","Yes","Rarely","Yes","1-3 days","Curiosity or personal experiment","No significant change","No","No","No change","Boredom","Engage in outdoor activities","3","Rarely","Yes","I attend social events or gatherings"
"2023/10/18 12:54:35 AM GMT+6","I Agree","17","Male","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","2","Frequently","Frequently","Good","No changes","Never","High","Still enjoy activities","Occasionally","No","Yes","Frequently","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","4","Always","Yes","I seek support from friends or family"
"2023/10/18 1:16:35 AM GMT+6","I Agree","23","Female","Student","3-4 hours","Smartphone","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Joy","1","Almost all the time","Rarely","Excellent","No changes","Frequently","Very low","Have lost interest","Almost all the time","Yes","No","Rarely","No","Less than a day","Curiosity or personal experiment","No significant change","No","Yes","Used technology less","Difficulty staying disconnected","Take short breaks from screens","1","Never","No","I seek support from friends or family"
"2023/10/18 2:24:43 AM GMT+6","I Agree","21","Female","Student","5-6 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","News and information","Relaxation","2","Frequently","Almost all the time","Good","Increased appetite","Rarely","Low","Still enjoy activities","Frequently","Yes","No","Rarely","Yes","Less than a day","Improving productivity","Relaxed and refreshed","No","Yes","No change","None, it was easy and enjoyable","Take short breaks from screens","1","Rarely","Yes","I prefer to cope alone"
"2023/10/18 12:33:47 PM GMT+6","I Agree","26","Male","Employed (part-time)","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Rarely","Poor","Weight loss","Rarely","High","Still enjoy activities","Occasionally","No","Yes","Rarely","Yes","More than a week","Improving productivity","Relaxed and refreshed","No","Yes","No change","FOMO (Fear of Missing Out)","Take short breaks from screens","4","Never","Yes","I prefer to cope alone"
"2023/10/18 1:06:18 PM GMT+6","I Agree","24","Male","Employed (full-time)","More than 6 hours","Computer/Laptop","Occasionally","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Educational content","Joy","3","Occasionally","Occasionally","Poor","Weight loss","Occasionally","Moderate","Still enjoy activities","Occasionally","No","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","Yes","Yes","Used technology more mindfully","Social pressure to stay connected","Take short breaks from screens","3","Occasionally","Yes","I attend social events or gatherings"
"2023/10/18 1:22:09 PM GMT+6","I Agree","25","Female","Employed (full-time)","5-6 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Excitement","3","Occasionally","Occasionally","Fair","No changes","Frequently","Moderate","Still enjoy activities","Frequently","Yes","Yes","Occasionally","Yes","Less than a day","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology less","Boredom","Take short breaks from screens","4","Frequently","Yes","I seek support from friends or family"
"2023/10/18 3:37:12 PM GMT+6","I Agree","23","Female","Student","More than 6 hours","Smartphone","Often","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Frequently","Occasionally","Fair","No changes","Rarely","Low","Have lost interest","Frequently","Yes","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Rarely","No","I prefer to cope alone"
"2023/10/18 3:41:37 PM GMT+6","I Agree","22","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Almost all the time","Fair","Weight gain","Rarely","Moderate","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","More than a week","Improving productivity","No significant change","No","No","No change","Boredom","Talk to friends or family about technology-related stress","3","Rarely","No","I prefer to cope alone"
"2023/10/18 3:58:01 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Occasionally","Very Poor","Weight gain","Never","Very High","Still enjoy activities","Occasionally","No","Yes","Rarely","Yes","Less than a day","Curiosity or personal experiment","No significant change","No","No","No change","None, it was easy and enjoyable","Engage in outdoor activities","3","Rarely","Yes","I attend social events or gatherings"
"2023/10/18 6:26:08 PM GMT+6","I Agree","22","Male","Student","3-4 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Stress","3","Occasionally","Frequently","Poor","Weight loss","Rarely","Low","Still enjoy activities","Frequently","Yes","Yes","Occasionally","Yes","More than a week","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology less","Social pressure to stay connected","Set specific time limits for technology use","4","Rarely","Yes","I participate in online communities or forums"
"2023/10/18 8:30:09 PM GMT+6","I Agree","27","Male","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Occasionally","Fair","No changes","Never","Moderate","Have lost interest","Occasionally","Yes","No","Rarely","Yes","Less than a day","Improving productivity","Relaxed and refreshed","Yes","Yes","No change","FOMO (Fear of Missing Out)","Take short breaks from screens","3","Rarely","Yes","I prefer to cope alone"
"2023/10/18 8:52:37 PM GMT+6","I Agree","22","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Occasionally","Fair","Loss of appetite","Occasionally","Low","Have lost interest","Frequently","Yes","No","Rarely","Yes","Less than a day","Improving productivity","No significant change","Yes","Yes","Used technology less","Boredom","Set specific time limits for technology use","3","Rarely","No","I attend social events or gatherings"
"2023/10/18 8:59:21 PM GMT+6","I Agree","18","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Anxiety","3","Frequently","Almost all the time","Good","Increased appetite","Occasionally","Low","Have lost interest","Frequently","Yes","Yes","Frequently","Yes","More than a week","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Difficulty staying disconnected","Take short breaks from screens","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/18 9:38:09 PM GMT+6","I Agree","22","Male","Student","3-4 hours","Smartphone","Occasionally","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Stress","4","Occasionally","Occasionally","Good","No changes","Rarely","Moderate","Have lost interest","Occasionally","No","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/18 10:21:14 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Computer/Laptop","Occasionally","Rarely","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Excitement","4","Occasionally","Occasionally","Poor","No changes","Rarely","Moderate","Still enjoy activities","Occasionally","No","No","Occasionally","Yes","4-7 days","Improving productivity","No significant change","Yes","No","No change","FOMO (Fear of Missing Out)","Set specific time limits for technology use","3","Rarely","No","I prefer to cope alone"
"2023/10/18 11:07:16 PM GMT+6","I Agree","19","Male","Student","3-4 hours","Computer/Laptop","Rarely","Often","Yes","Multiple times a day","1-2 hours","Yes","Work-related content","Anxiety","3","Frequently","Occasionally","Good","No changes","Rarely","Moderate","Have lost interest","Frequently","Yes","No","Frequently","Yes","1-3 days","Improving productivity","Anxious or stressed","Yes","Yes","Used technology more mindfully","Boredom","Engage in outdoor activities","3","Always","Yes","I participate in online communities or forums"
"2023/10/18 11:20:40 PM GMT+6","I Agree","23","Others","Unemployed","More than 6 hours","Computer/Laptop","Always","Always","No","Multiple times a day","More than 6 hours","Yes","Porn","Frustration","5","Not at all","Never","Very Poor","Weight loss","Almost all the time","Very low","Still enjoy activities","Almost all the time","No","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Music , Full Volume","5","Never","No","Be Angry in Twitter Now Known As X"
